team,experience,salary,points3,points2,points1,points,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,efficiency
BOS,9,26.5401,86,293,108,952,95,370,337,52,86,115,138,19.529411764705884
BOS,11,12,27,186,67,520,118,248,140,51,62,77,211,10.9
BOS,6,8.269663,108,251,68,894,65,269,122,68,11,88,141,16.363636363636363
BOS,0,1.45,1,2,3,10,2,2,3,0,0,0,0,2.6
BOS,9,1.410598,39,56,33,262,16,68,33,9,7,25,48,4.787234042553192
BOS,5,6.587132,245,437,590,2199,43,162,448,70,13,210,167,24.67105263157895
BOS,4,6.286408,157,176,176,999,48,367,155,73,23,80,161,16.069444444444443
BOS,2,1.8252,12,13,6,68,6,20,4,10,2,4,15,2.413793103448276
BOS,0,4.743,46,146,85,515,45,175,64,35,18,68,142,6.589743589743589
BOS,6,5,45,69,26,299,59,213,71,25,17,39,122,6.230769230769231
BOS,1,1.223653,0,15,8,38,13,21,7,3,6,9,12,2.16
BOS,3,3.094014,68,192,90,678,73,288,148,43,29,96,207,11.76
BOS,2,3.57888,94,175,203,835,78,227,364,125,34,159,192,12.367088607594937
BOS,1,1.90644,57,94,51,410,40,187,131,46,11,47,69,6.797297297297297
BOS,4,8,0,78,22,178,43,81,42,7,21,20,61,5
CLE,11,0.242224,0,0,0,0,0,0,0,0,0,0,2,0
CLE,10,7.806971,137,101,63,676,37,253,45,33,37,53,138,9.932432432432432
CLE,12,0.024022,0,3,3,9,1,1,1,0,0,1,1,5
CLE,11,0.259626,22,46,21,179,1,44,86,6,6,40,42,8.291666666666666
CLE,5,0.402043,21,33,27,156,3,54,14,5,2,14,27,6.2
CLE,1,0.005145,0,3,0,6,4,6,1,0,6,2,3,19
CLE,5,9.7,94,107,71,567,39,179,109,62,27,78,150,7.868421052631579
CLE,12,12.8,95,28,10,351,17,96,62,40,11,26,77,7.634146341463414
CLE,13,1.551659,31,13,13,132,3,34,14,6,10,10,37,2.7916666666666665
CLE,1,0.874636,18,40,27,161,6,35,19,8,6,14,31,3.2972972972972974
CLE,0,0.543471,7,55,35,166,3,38,58,18,7,30,38,3.5714285714285716
CLE,8,21.165675,145,225,257,1142,148,518,116,53,21,122,125,22.35
CLE,13,5.239437,97,34,14,373,7,90,35,11,8,29,60,10.17142857142857
CLE,5,17.638063,177,494,297,1816,52,178,418,83,24,180,157,22.375
CLE,5,0.207722,0,1,2,4,3,1,0,1,1,2,5,1
CLE,13,30.96345,124,612,358,1954,97,542,646,92,44,303,134,30.95945945945946
CLE,15,2.5,62,91,80,448,28,175,78,26,10,52,153,6.265822784810126
CLE,5,15.330435,0,262,106,630,286,429,77,39,84,64,176,15.371794871794872
TOR,2,1.58964,2,4,0,14,5,5,4,2,1,2,4,2.111111111111111
TOR,5,7.33,48,251,94,740,51,184,265,66,13,108,140,10.2625
TOR,1,1.57728,10,39,42,150,16,32,57,27,11,25,31,6.962962962962963
TOR,7,26.5401,33,688,545,2020,70,316,290,78,13,180,134,22.716216216216218
TOR,7,14.2,109,111,89,638,63,212,74,81,27,54,143,9.48611111111111
TOR,0,0.543471,11,28,18,107,4,38,35,16,3,15,36,3.027027027027027
TOR,0,2.70396,0,67,31,165,78,87,12,17,20,29,113,5.111111111111111
TOR,4,14.382022,1,390,176,959,226,533,57,37,63,106,216,17.7125
TOR,10,12,193,233,299,1344,48,238,417,88,19,173,170,23.716666666666665
TOR,2,1.92132,3,100,44,253,82,162,42,52,89,46,137,9.789473684210526
TOR,1,0.874636,56,171,126,636,26,143,82,52,14,70,127,7.5131578947368425
TOR,5,5.3,24,28,11,139,23,106,26,31,5,14,53,9.791666666666666
TOR,0,1.19604,1,102,22,229,64,121,17,26,45,33,109,6.490909090909091
TOR,6,6.05,94,60,43,445,62,231,76,40,23,38,120,9.107692307692307
TOR,7,12.25,41,87,30,327,29,127,15,7,33,39,76,14.956521739130435
